Counter	Timestamp	Ice Height [m]	Tempera
1	2000-00-00T00:00:00Z	1.304	13.7	999.9	
2	2000-00-00T00:00:00Z	1.304	13.3	999.8	
2	2000-00-00T00:00:00Z	1.304	13.7	999.8	
1	2000-00-00T00:00:00Z	1.304	14.7	999.8	
4	2022-05-06T11:07:15Z	1.298	14.5	999.9	
4	2022-05-06T11:37:15Z	1.298	13.6	1000.0
4	2022-05-06T12:07:15Z	1.298	13.3	1000.1
4	2022-05-06T12:37:15Z	1.298	13.3	1000.1
4	2022-05-06T13:07:15Z	1.298	13.2	1000.2
4	2022-05-06T13:37:15Z	1.298	13.3	1000.4
5	2022-05-06T14:07:15Z	1.298	13.4	1000.4
5	2022-05-06T14:37:15Z	1.298	13.5	1000.4
5	2022-05-06T15:07:15Z	1.298	13.5	1000.5
5	2022-05-06T15:37:15Z	1.298	13.5	1000.2
5	2022-05-06T16:07:15Z	1.298	13.6	1000.2
5	2022-05-06T16:37:15Z	1.298	13.6	1000.1
6	2022-05-06T17:07:15Z	1.298	13.6	1000.0
6	2022-05-06T17:37:15Z	1.298	13.7	999.9	
6	2022-05-06T18:07:15Z	1.298	13.9	999.8	
6	2022-05-06T18:37:14Z	1.298	14.0	999.8	
6	2022-05-06T19:07:15Z	1.298	14.1	999.8	
6	2022-05-06T19:37:15Z	1.298	13.8	999.6	
7	2022-05-06T20:07:15Z	1.298	13.7	999.4	
7	2022-05-06T20:37:15Z	1.298	13.8	999.3	
7	2022-05-06T21:07:15Z	1.298	13.8	999.4	
7	2022-05-06T21:37:15Z	1.298	13.9	999.5	
7	2022-05-06T22:07:15Z	1.298	14.0	999.5	
7	2022-05-06T22:37:15Z	1.298	14.2	999.5	
8	2022-05-06T23:07:15Z	1.298	14.3	999.6	
8	2022-05-06T23:37:15Z	1.298	14.5	999.6	
8	2022-05-07T00:07:15Z	1.298	14.5	999.6	
8	2022-05-07T00:37:15Z	1.298	14.4	999.6	
8	2022-05-07T01:07:14Z	1.298	14.4	999.4	
8	2022-05-07T01:37:15Z	1.298	14.3	999.5	
9	2022-05-07T02:07:14Z	1.298	14.1	999.5	
9	2022-05-07T02:37:15Z	1.298	14.0	999.5	
9	2022-05-07T03:07:14Z	1.298	14.0	999.5	
9	2022-05-07T03:37:15Z	1.298	14.0	999.5	
9	2022-05-07T04:07:14Z	1.298	14.0	999.4	
9	2022-05-07T04:37:15Z	1.298	14.2	999.4	
10	2022-05-07T05:07:14Z	1.298	14.3	999.3
10	2022-05-07T05:37:14Z	1.298	14.4	999.2
10	2022-05-07T06:07:14Z	1.298	14.7	999.2
10	2022-05-07T06:37:14Z	1.298	15.1	999.3
10	2022-05-07T07:07:14Z	1.298	14.8	999.1
10	2022-05-07T07:37:14Z	1.298	14.2	999.3
11	2022-05-07T08:07:14Z	1.298	13.5	999.4
11	2022-05-07T08:37:14Z	1.287	13.1	999.7
11	2022-05-07T09:07:14Z	1.285	-2.0	999.8
11	2022-05-07T09:37:14Z	1.285	-5.2	999.9
11	2022-05-07T10:07:15Z	1.309	-8.4	955.6
12	2022-05-07T10:37:14Z	1.327	-6.5	956.0
13	2022-05-07T11:07:14Z	1.327	-8.9	956.1
13	2022-05-07T11:37:14Z	1.327	-10.4	956.
13	2022-05-07T12:07:14Z	1.327	-10.4	956.
13	2022-05-07T12:37:14Z	1.327	-10.0	956.
13	2022-05-07T13:03:03Z	0.000	-8.5	956.9
14	2022-05-07T13:07:14Z	0.000	-9.3	957.0
14	2022-05-07T13:37:14Z	0.000	-6.9	957.2
15	2022-05-07T14:07:14Z	0.000	-6.1	957.3
15	2022-05-07T14:37:14Z	0.000	-7.1	957.5
15	2022-05-07T15:07:14Z	0.000	-8.0	957.5
15	2022-05-07T15:37:14Z	0.000	-8.9	957.8
15	2022-05-07T16:07:14Z	0.000	-10.0	957.
15	2022-05-07T16:37:15Z	0.000	-10.8	958.
16	2022-05-07T17:07:14Z	0.000	-11.1	958.
16	2022-05-07T17:37:14Z	0.000	-12.2	958.
16	2022-05-07T18:07:14Z	0.000	-12.6	958.
16	2022-05-07T18:37:15Z	0.000	-13.0	958.
16	2022-05-07T19:07:14Z	0.000	-13.7	958.
16	2022-05-07T19:37:15Z	0.000	-14.4	958.
17	2022-05-07T20:07:14Z	0.000	-14.8	959.
17	2022-05-07T20:37:14Z	0.000	-15.6	959.
17	2022-05-07T21:07:14Z	0.000	-15.6	959.
17	2022-05-07T21:37:14Z	0.000	-15.1	959.
17	2022-05-07T22:07:14Z	0.000	-15.0	959.
17	2022-05-07T22:37:15Z	0.000	-14.7	959.
18	2022-05-07T23:07:14Z	0.000	-14.5	959.
18	2022-05-07T23:37:14Z	0.000	-14.9	959.
18	2022-05-08T00:07:14Z	0.000	-14.0	958.
18	2022-05-08T00:37:14Z	0.000	-14.0	958.
18	2022-05-08T01:07:14Z	0.000	-14.3	958.
18	2022-05-08T01:37:14Z	0.000	-14.4	958.
19	2022-05-08T02:07:15Z	0.000	-14.0	958.
19	2022-05-08T02:37:14Z	0.000	-14.0	958.
19	2022-05-08T03:07:14Z	0.000	-13.7	958.
19	2022-05-08T03:37:14Z	0.000	-13.5	957.
19	2022-05-08T04:07:14Z	0.000	-13.2	957.
19	2022-05-08T04:37:14Z	0.000	-13.1	957.
20	2022-05-08T05:07:14Z	0.000	-12.8	956.
20	2022-05-08T05:37:14Z	0.000	-12.7	956.
20	2022-05-08T06:07:14Z	0.000	-12.3	956.
20	2022-05-08T06:37:14Z	0.000	-12.1	956.
20	2022-05-08T07:07:14Z	0.000	-11.9	956.
20	2022-05-08T07:37:15Z	0.000	-11.8	956.
21	2022-05-08T08:07:14Z	0.000	-11.8	956.
21	2022-05-08T08:37:14Z	0.000	-11.8	956.
21	2022-05-08T09:07:14Z	0.000	-11.8	956.
21	2022-05-08T09:37:14Z	0.000	-11.8	956.
21	2022-05-08T10:07:14Z	0.000	-11.7	957.
22	2022-05-08T08:37:14Z	0.000	-11.7	957.
23	2022-05-08T09:07:13Z	0.000	-11.7	957.
23	2022-05-08T09:37:13Z	0.000	-11.7	957.
23	2022-05-08T10:07:13Z	0.000	-11.6	957.
23	2022-05-08T10:37:13Z	0.000	-11.6	957.
23	2022-05-08T11:07:13Z	0.000	-11.6	957.
23	2022-05-08T11:37:14Z	0.000	-11.6	957.
24	2022-05-08T12:07:13Z	0.000	-11.5	957.
24	2022-05-08T12:37:13Z	0.000	-11.5	957.
24	2022-05-08T13:07:13Z	0.000	-11.5	957.
24	2022-05-08T13:37:13Z	0.000	-11.5	957.
24	2022-05-08T14:07:13Z	0.000	-11.4	957.
24	2022-05-08T14:37:13Z	0.000	-11.4	957.
25	2022-05-08T15:07:13Z	0.000	-11.4	957.
25	2022-05-08T15:37:13Z	0.000	-11.4	957.
25	2022-05-08T16:07:14Z	0.000	-11.3	957.
25	2022-05-08T16:37:13Z	0.000	-11.3	957.
25	2022-05-08T17:07:14Z	0.000	-11.3	957.
25	2022-05-08T17:37:13Z	0.000	-11.3	957.
26	2022-05-08T18:07:14Z	0.000	-11.2	957.
26	2022-05-08T18:37:13Z	0.000	-11.2	957.
26	2022-05-08T19:07:13Z	0.000	-11.2	957.
26	2022-05-08T19:37:13Z	0.000	-11.1	957.
26	2022-05-08T20:07:13Z	0.000	-11.1	957.
26	2022-05-08T20:37:14Z	0.000	-11.1	957.
27	2022-05-08T21:07:13Z	0.000	-11.1	956.
27	2022-05-08T21:37:13Z	0.000	-11.0	957.
27	2022-05-08T22:07:13Z	0.000	-11.0	957.
27	2022-05-08T22:37:13Z	0.000	-11.0	957.
27	2022-05-08T23:07:13Z	0.000	-11.0	957.
27	2022-05-08T23:37:14Z	0.000	-10.9	958.
28	2022-05-09T00:07:13Z	0.000	-10.9	958.
28	2022-05-09T00:37:14Z	0.000	-10.9	958.
28	2022-05-09T01:07:13Z	0.000	-10.9	958.
28	2022-05-09T01:37:13Z	0.000	-10.9	958.
28	2022-05-09T02:07:13Z	0.000	-10.8	957.
28	2022-05-09T02:37:14Z	0.000	-10.8	957.
29	2022-05-09T03:07:13Z	0.000	-10.8	957.
29	2022-05-09T03:37:13Z	0.000	-10.8	957.
29	2022-05-09T04:07:13Z	0.000	-10.8	957.
29	2022-05-09T04:37:13Z	0.000	-10.7	957.
29	2022-05-09T05:07:13Z	0.000	-10.7	957.
29	2022-05-09T05:37:13Z	0.000	-10.7	957.
30	2022-05-09T06:07:13Z	0.000	-10.7	956.
30	2022-05-09T06:37:13Z	0.000	-10.7	956.
30	2022-05-09T07:07:13Z	0.000	-10.6	956.
